selecao,copa,fase_eliminada,jogos,gols_pro,gols_contra,amarelos
Brasil,2014,semi,7,11,14,11
Brasil,2018,quartas,5,8,3,6
Brasil,2022,quartas,5,8,3,5
Marrocos,2014,nao_classificou,0,0,0,0
Marrocos,2018,grupo,3,2,4,4
Marrocos,2022,semi,6,6,5,9
Escocia,2014,nao_classificou,0,0,0,0
Escocia,2018,nao_classificou,0,0,0,0
Escocia,2022,nao_classificou,0,0,0,0
Haiti,2014,nao_classificou,0,0,0,0
Haiti,2018,nao_classificou,0,0,0,0
Haiti,2022,nao_classificou,0,0,0,0
Mexico,2014,oitavas,4,5,4,7
Mexico,2018,oitavas,4,3,6,8
Mexico,2022,grupo,3,2,3,4
Africa do Sul,2014,nao_classificou,0,0,0,0
Africa do Sul,2018,nao_classificou,0,0,0,0
Africa do Sul,2022,nao_classificou,0,0,0,0
Coreia do Sul,2014,grupo,3,2,4,5
Coreia do Sul,2018,grupo,3,3,3,4
Coreia do Sul,2022,oitavas,4,5,6,6
Tchequia,2014,nao_classificou,0,0,0,0
Tchequia,2018,nao_classificou,0,0,0,0
Tchequia,2022,nao_classificou,0,0,0,0
Canada,2014,nao_classificou,0,0,0,0
Canada,2018,nao_classificou,0,0,0,0
Canada,2022,grupo,3,2,4,5
Bosnia-Herzegovina,2014,grupo,3,4,4,3
Bosnia-Herzegovina,2018,nao_classificou,0,0,0,0
Bosnia-Herzegovina,2022,nao_classificou,0,0,0,0
Catar,2014,nao_classificou,0,0,0,0
Catar,2018,nao_classificou,0,0,0,0
Catar,2022,grupo,3,1,7,3
Suica,2014,oitavas,4,7,6,7
Suica,2018,oitavas,4,6,3,6
Suica,2022,oitavas,4,5,9,6
EUA,2014,oitavas,4,5,6,6
EUA,2018,nao_classificou,0,0,0,0
EUA,2022,oitavas,4,3,4,5
Australia,2014,grupo,3,3,6,5
Australia,2018,grupo,3,2,5,3
Australia,2022,oitavas,4,7,6,5
Paraguai,2014,nao_classificou,0,0,0,0
Paraguai,2018,nao_classificou,0,0,0,0
Paraguai,2022,nao_classificou,0,0,0,0
Turquia,2014,nao_classificou,0,0,0,0
Turquia,2018,nao_classificou,0,0,0,0
Turquia,2022,nao_classificou,0,0,0,0
Franca,2014,quartas,5,10,3,8
Franca,2018,campeao,7,12,6,9
Franca,2022,vice,7,16,8,7
Senegal,2014,nao_classificou,0,0,0,0
Senegal,2018,grupo,3,4,4,6
Senegal,2022,oitavas,4,4,3,7
Noruega,2014,nao_classificou,0,0,0,0
Noruega,2018,nao_classificou,0,0,0,0
Noruega,2022,nao_classificou,0,0,0,0
Iraque,2014,nao_classificou,0,0,0,0
Iraque,2018,nao_classificou,0,0,0,0
Iraque,2022,nao_classificou,0,0,0,0
Argentina,2014,vice,7,8,4,9
Argentina,2018,oitavas,4,6,9,6
Argentina,2022,campeao,7,15,8,7
Argelia,2014,oitavas,4,7,6,7
Argelia,2018,nao_classificou,0,0,0,0
Argelia,2022,nao_classificou,0,0,0,0
Austria,2014,nao_classificou,0,0,0,0
Austria,2018,nao_classificou,0,0,0,0
Austria,2022,nao_classificou,0,0,0,0
Jordania,2014,nao_classificou,0,0,0,0
Jordania,2018,nao_classificou,0,0,0,0
Jordania,2022,nao_classificou,0,0,0,0
Japao,2014,grupo,3,2,6,6
Japao,2018,oitavas,4,6,7,4
Japao,2022,oitavas,4,5,4,5
