nome_animal,especie,porte,idade_meses,dias_no_abrigo,adotado
Rex,cão,grande,3,10,não
Mel,gata,pequeno,48,210,não
Nina,gata,médio,6,22,sim
Thor,cão,grande,60,5,não
Luna,gata,pequeno,2,8,não
Bento,cão,médio,84,180,sim
Fred,cão,pequeno,12,45,não
Amora,gata,grande,36,130,não
Duke,cão,grande,18,60,não
Mia,gata,pequeno,4,15,sim
Zeus,cão,médio,30,95,não
Lola,gata,grande,54,250,não
Simba,cão,pequeno,8,33,sim
Bela,gata,médio,42,70,não
Max,cão,grande,72,300,não
Chica,gata,pequeno,5,12,sim
Toby,cão,médio,20,55,não
Sol,gata,grande,60,190,não
Pingo,cão,pequeno,3,9,sim
Nala,gata,médio,15,40,não
Bidu,cão,grande,96,320,não
Frida,gata,pequeno,7,18,não
Bob,cão,médio,48,110,sim
Estrela,gata,grande,30,85,não
Salsicha,cão,pequeno,10,25,não
Mimosa,gata,médio,66,275,não
Trovão,cão,grande,24,65,sim
